,open_time,close_time,Open,High,Low,Volume
172,1599710400000,1599713999999,313.30000000,319.00000000,312.72000000,44.71034000
173,1599714000000,1599717599999,317.40000000,317.40000000,314.78000000,38.36329000
174,1599717600000,1599721199999,315.50000000,317.54000000,311.81000000,167.66905000
175,1599721200000,1599724799999,312.00000000,314.00000000,307.31000000,238.90060000
176,1599724800000,1599728399999,308.90000000,310.70000000,307.52000000,108.32442000
177,1599728400000,1599731999999,309.18000000,310.94000000,307.47000000,247.66958000
178,1599732000000,1599735599999,309.74000000,313.05000000,308.53000000,45.92442000
179,1599735600000,1599739199999,308.46000000,312.21000000,308.46000000,38.91455000
180,1599739200000,1599742799999,310.72000000,316.58000000,310.72000000,435.38012000
181,1599742800000,1599746399999,315.11000000,318.11000000,313.00000000,149.37341000
182,1599746400000,1599749999999,318.00000000,318.90000000,311.51000000,258.01886000
183,1599750000000,1599753599999,311.51000000,314.22000000,310.22000000,63.68233000
184,1599753600000,1599757199999,315.00000000,315.65000000,310.00000000,109.10534000
185,1599757200000,1599760799999,311.25000000,313.76000000,310.80000000,62.94873000
186,1599760800000,1599764399999,311.76000000,313.26000000,307.18000000,325.67661000
187,1599764400000,1599767999999,309.75000000,310.41000000,307.78000000,193.90125000
188,1599768000000,1599771599999,309.76000000,313.37000000,308.70000000,45.85214000
189,1599771600000,1599775199999,310.30000000,312.05000000,308.91000000,33.85253000
190,1599775200000,1599778799999,313.10000000,313.50000000,311.00000000,49.58130000
191,1599778800000,1599782399999,313.45000000,313.45000000,311.57000000,22.40471000
192,1599782400000,1599785999999,313.50000000,315.87000000,313.50000000,112.83930000
193,1599786000000,1599789599999,313.00000000,313.00000000,310.17000000,37.03292000
194,1599789600000,1599793199999,310.64000000,310.64000000,308.20000000,34.44520000
195,1599793200000,1599796799999,308.53000000,309.29000000,303.02000000,135.75561000
196,1599796800000,1599800399999,303.02000000,306.26000000,302.44000000,129.57426000
197,1599800400000,1599803999999,303.55000000,307.51000000,303.55000000,94.21151000
198,1599804000000,1599807599999,307.00000000,308.56000000,305.87000000,36.75970000
199,1599807600000,1599811199999,308.64000000,309.59000000,307.00000000,78.53235000
200,1599811200000,1599814799999,308.36000000,312.94000000,308.36000000,190.41306000
201,1599814800000,1599818399999,312.00000000,312.30000000,310.13000000,46.33407000
202,1599818400000,1599821999999,311.11000000,311.11000000,307.77000000,36.73631000
203,1599822000000,1599825599999,309.12000000,311.15000000,306.79000000,169.03611000
204,1599825600000,1599829199999,308.16000000,310.00000000,307.34000000,66.70322000
205,1599829200000,1599832799999,310.50000000,312.42000000,309.44000000,191.06168000
206,1599832800000,1599836399999,309.73000000,312.38000000,308.69000000,35.10136000
207,1599836400000,1599839999999,311.63000000,314.98000000,311.63000000,260.52912000
208,1599840000000,1599843599999,314.03000000,316.55000000,312.00000000,132.67497000
209,1599843600000,1599847199999,312.48000000,312.49000000,310.17000000,58.14418000
210,1599847200000,1599850799999,311.75000000,313.10000000,311.12000000,114.08386000
211,1599850800000,1599854399999,312.74000000,314.28000000,310.86000000,77.08170000
212,1599854400000,1599857999999,314.11000000,315.00000000,312.66000000,39.93572000
213,1599858000000,1599861599999,313.01000000,314.72000000,313.01000000,55.76012000
214,1599861600000,1599865199999,315.00000000,318.23000000,314.99000000,73.42442000
215,1599865200000,1599868799999,317.44000000,318.37000000,316.40000000,64.60114000
216,1599868800000,1599872399999,317.18000000,317.18000000,314.03000000,22.97841000
217,1599872400000,1599875999999,315.44000000,316.40000000,315.44000000,7.32089000
218,1599876000000,1599879599999,316.23000000,316.23000000,312.00000000,16.72475000
219,1599879600000,1599883199999,313.82000000,314.79000000,313.76000000,14.14998000
220,1599883200000,1599886799999,313.00000000,314.63000000,312.69000000,2.12220000
221,1599886800000,1599890399999,314.43000000,315.64000000,314.43000000,0.63450000
222,1599890400000,1599893999999,314.61000000,314.61000000,310.60000000,22.18706000
223,1599894000000,1599897599999,310.60000000,313.11000000,310.00000000,11.82941000
224,1599897600000,1599901199999,311.80000000,312.39000000,310.78000000,14.72848000
225,1599901200000,1599904799999,311.89000000,313.98000000,311.44000000,26.80130000
226,1599904800000,1599908399999,313.63000000,314.76000000,312.60000000,45.26841000
227,1599908400000,1599911999999,312.45000000,315.30000000,312.20000000,129.11469000
228,1599912000000,1599915599999,314.57000000,314.57000000,312.20000000,29.13646000
229,1599915600000,1599919199999,313.22000000,313.57000000,311.00000000,57.59132000
230,1599919200000,1599922799999,312.82000000,316.11000000,312.82000000,34.43311000
231,1599922800000,1599926399999,315.76000000,317.86000000,315.29000000,85.20461000
232,1599926400000,1599929999999,316.66000000,317.05000000,315.93000000,15.51135000
233,1599930000000,1599933599999,316.08000000,317.65000000,315.51000000,30.37463000
234,1599933600000,1599937199999,317.30000000,326.35000000,317.30000000,312.89745000
235,1599937200000,1599940799999,325.51000000,326.78000000,323.78000000,90.92981000
236,1599940800000,1599944399999,327.20000000,328.40000000,325.00000000,151.09832000
237,1599944400000,1599947999999,324.88000000,326.42000000,324.47000000,6.80358000
238,1599948000000,1599951599999,326.58000000,326.58000000,323.46000000,128.26354000
239,1599951600000,1599955199999,326.78000000,329.36000000,325.71000000,21.06810000
240,1599955200000,1599958799999,329.40000000,329.50000000,325.71000000,16.87565000
241,1599958800000,1599962399999,326.60000000,326.85000000,325.30000000,12.20912000
242,1599962400000,1599965999999,325.89000000,327.62000000,325.49000000,4.21727000
243,1599966000000,1599969599999,327.78000000,330.35000000,326.81000000,61.03285000
244,1599969600000,1599973199999,330.50000000,330.94000000,327.81000000,13.32429000
245,1599973200000,1599976799999,327.39000000,329.50000000,327.39000000,108.23317000
246,1599976800000,1599980399999,328.78000000,329.64000000,327.24000000,47.32918000
247,1599980400000,1599983999999,327.95000000,329.50000000,327.95000000,2.07063000
248,1599984000000,1599987599999,329.02000000,330.19000000,326.10000000,166.45016000
249,1599987600000,1599991199999,327.49000000,328.73000000,323.50000000,211.62134000
250,1599991200000,1599994799999,323.50000000,323.90000000,319.00000000,360.23989000
251,1599994800000,1599998399999,320.22000000,321.65000000,315.00000000,532.31060000
252,1599998400000,1600001999999,315.56000000,316.77000000,311.25000000,419.15172000
253,1600002000000,1600005599999,311.02000000,313.25000000,308.46000000,92.41133000
254,1600005600000,1600009199999,311.66000000,313.92000000,310.20000000,56.15435000
255,1600009200000,1600012799999,311.99000000,312.28000000,305.38000000,188.51569000
256,1600012800000,1600016399999,305.81000000,306.21000000,300.58000000,442.04141000
257,1600016400000,1600019999999,302.96000000,305.64000000,300.00000000,109.07855000
258,1600020000000,1600023599999,304.65000000,305.83000000,304.02000000,41.75752000
259,1600023600000,1600027199999,304.02000000,309.02000000,304.02000000,133.68101000
260,1600027200000,1600030799999,308.00000000,308.75000000,305.60000000,75.80532000
261,1600030800000,1600034399999,308.43000000,310.38000000,307.18000000,39.69036000
262,1600034400000,1600037999999,308.46000000,310.67000000,308.14000000,31.79022000
263,1600038000000,1600041599999,309.42000000,311.32000000,309.09000000,5.01623000
264,1600041600000,1600045199999,311.19000000,311.19000000,302.14000000,94.83764000
265,1600045200000,1600048799999,304.63000000,308.75000000,304.63000000,37.30864000
266,1600048800000,1600052399999,309.07000000,311.96000000,309.07000000,32.04071000
267,1600052400000,1600055999999,311.64000000,311.64000000,310.06000000,16.37936000
268,1600056000000,1600059599999,310.06000000,310.06000000,307.50000000,37.88699000
269,1600059600000,1600063199999,310.00000000,310.67000000,308.00000000,22.93878000
270,1600063200000,1600066799999,309.71000000,313.70000000,309.71000000,86.57327000
271,1600066800000,1600070399999,312.28000000,313.57000000,311.06000000,54.99700000
272,1600070400000,1600073999999,313.63000000,313.65000000,307.73000000,236.99833000
273,1600074000000,1600077599999,309.07000000,309.71000000,306.86000000,75.42759000
274,1600077600000,1600081199999,310.02000000,311.96000000,309.73000000,31.92063000
275,1600081200000,1600084799999,311.04000000,312.93000000,310.06000000,109.46547000
276,1600084800000,1600088399999,312.93000000,313.90000000,310.98000000,113.52670000
277,1600088400000,1600091999999,312.93000000,318.48000000,312.93000000,213.77861000
278,1600092000000,1600095599999,317.51000000,319.00000000,316.17000000,133.97693000
279,1600095600000,1600099199999,317.16000000,325.00000000,316.79000000,238.82749000
280,1600099200000,1600102799999,325.14000000,325.47000000,318.84000000,181.22198000
281,1600102800000,1600106399999,322.23000000,323.12000000,318.18000000,81.29359000
282,1600106400000,1600109999999,318.67000000,320.14000000,315.71000000,41.59743000
283,1600110000000,1600113599999,318.33000000,319.54000000,316.18000000,76.38829000
284,1600113600000,1600117199999,317.19000000,320.35000000,316.86000000,58.95138000
285,1600117200000,1600120799999,318.84000000,320.80000000,318.18000000,34.51734000
286,1600120800000,1600124399999,320.46000000,321.46000000,314.51000000,70.83133000
287,1600124400000,1600127999999,314.68000000,320.13000000,314.29000000,35.11179000
288,1600128000000,1600131599999,319.79000000,321.65000000,317.77000000,27.46609000
289,1600131600000,1600135199999,319.08000000,319.14000000,317.35000000,36.69567000
290,1600135200000,1600138799999,317.85000000,323.12000000,317.19000000,69.41800000
291,1600138800000,1600142399999,320.80000000,320.80000000,317.45000000,6.96476000
292,1600142400000,1600145999999,317.35000000,318.81000000,315.66000000,13.32976000
293,1600146000000,1600149599999,316.53000000,318.28000000,316.20000000,46.06691000
294,1600149600000,1600153199999,316.21000000,317.33000000,315.00000000,24.18368000
295,1600153200000,1600156799999,317.24000000,319.04000000,316.19000000,127.70334000
296,1600156800000,1600160399999,318.81000000,318.97000000,311.77000000,166.23373000
297,1600160400000,1600163999999,313.16000000,315.22000000,311.34000000,71.36033000
298,1600164000000,1600167599999,314.25000000,320.97000000,313.43000000,110.57332000
299,1600167600000,1600171199999,319.87000000,320.13000000,317.85000000,116.27308000
